branch_id,ending,macro_topic_name,toxicity,stance,cross_partisan
132,inconclusive,Tariffs and Economy,0.0254,1.0,False
133,inconclusive,Other,0.1955,1.0,False
133,inconclusive,Other,0.1955,1.0,False
133,inconclusive,Other,0.1955,1.0,False
133,inconclusive,Other,0.1955,1.0,False
134,inconclusive,Other,0.0194,1.0,False
134,inconclusive,Other,0.0194,1.0,False
134,inconclusive,Other,0.0194,1.0,False
135,disagreement,Other,0.1739,1.0,False
135,disagreement,Other,0.1739,1.0,False
135,disagreement,Other,0.1739,1.0,False
136,disagreement,Other,0.2024,1.0,False
136,disagreement,Other,0.2024,1.0,False
136,disagreement,Other,0.2024,1.0,False
137,disagreement,Interviews/Podcasts,0.1467,1.0,False
137,disagreement,Other,0.1467,1.0,False
137,disagreement,Interviews/Podcasts,0.1467,1.0,False
138,disagreement,Other,0.1155,1.0,False
138,disagreement,Trump,0.1155,1.0,False
138,disagreement,Other,0.1155,1.0,False
139,disagreement,Other,0.092,1.0,False
139,disagreement,Other,0.092,1.0,False
139,disagreement,Other,0.092,1.0,False
140,disagreement,Interviews/Podcasts,0.0779,1.0,False
140,disagreement,Other,0.0779,1.0,False
140,disagreement,Other,0.0779,1.0,False
141,disagreement,Other,0.1568,1.0,False
141,disagreement,Other,0.1568,1.0,False
141,disagreement,Media Bias,0.1568,1.0,False
142,disagreement,Interviews/Podcasts,0.1291,1.0,False
142,disagreement,Other,0.1291,1.0,False
142,disagreement,Other,0.1291,1.0,False
143,inconclusive,Other,0.0836,1.0,False
143,inconclusive,Media Bias,0.0836,1.0,False
143,inconclusive,Other,0.0836,1.0,False
144,agreement,Media Bias,0.0333,1.0,False
144,agreement,Other,0.0333,1.0,False
144,agreement,Other,0.0333,1.0,False
145,inconclusive,Other,0.2694,1.0,False
145,inconclusive,Other,0.2694,1.0,False
145,inconclusive,Trump,0.2694,1.0,False
145,inconclusive,Other,0.2694,1.0,False
146,disagreement,Other,0.0798,1.0,False
146,disagreement,Other,0.0798,1.0,False
146,disagreement,Other,0.0798,1.0,False
147,inconclusive,Other,0.143,1.0,False
147,inconclusive,Other,0.143,1.0,False
147,inconclusive,Other,0.143,1.0,False
148,inconclusive,Other,0.0514,1.0,False
148,inconclusive,Other,0.0514,1.0,False
